Cuijpers Appendix E Study,Cuijpers Appendix E Study (raw),Cuijpers Full Reference,Present in mmc3 MS depression-included studies
"Richards, 2016","Richards, 2016","Richards, D. A., Ekers, D., McMillan, D., Taylor, R. S., Byford, S., Warren, F. C., . . . Finning, K. (2016). Cost and Outcome of Behavioural Activation versus Cognitive Behavioural Therapy for Depression (COBRA): a randomised, controlled, non-inferiority trial.",False
"Richards, 2018","Richards, 2018","Richards SH, Dickens C, Anderson R, et al. Assessing the effectiveness of Enhanced Psychological Care for patients with depressive symptoms attending cardiac rehabilitation compared with treatment as usual (CADENCE): a pilot cluster randomised controlled trial. Trials 2018; 19(1).",False
"Rief, 2018","Rief, 2018","Rief W, Bleichhardt G, Dannehl K, Euteneuer F, Wambach K. Comparing the Efficacy of CBASP with Two Versions of CBT for Depression in a Routine Care Center: a Randomized Clinical Trial. Psychotherapy and psychosomatics 2018;",False
"Rizvi, 2015","Rizvi, 2015","Rizvi SJ, Zaretsky A, Schaffer A, Levitt A. Is immediate adjunctive CBT more beneficial than delayed CBT in treating depression?: A Pilot Study. Journal of Psychiatric Practice. 2015;21(2):107-13.",False
"Rohan, 2007","Rohan, 2007","Rohan KJ, Roecklein KA, Lindsey KT, Johnson LG, Lippy RD, Lacy TJ, et al. A randomized controlled trial of cognitive-behavioral therapy, light therapy, and their combination for seasonal affective disorder. Journal of Consulting and Clinical Psychology. 2007;75(3):489-500.",False
"Ross, 1985","Ross, 1985","Ross M, Scott M. An evaluation of the effectiveness of individual and group cognitive therapy in the treatment of depressed patients in an inner city health centre. The Journal of the Royal College of General Practitioners. 1985;35(274):239-42.",False
"Rosso, 2013","Rosso, 2013","Rosso G, Martini B, Maina G. Brief dynamic therapy and depression severity: A single-blind, randomized study. Journal of Affective Disorders. 2013;147(1-3):101-6.",False
"Russell, 2019","Russell, 2019","Russell, A., Gaunt, D. M., Cooper, K., Barton, S., Horwood, J., Kessler, D., . . . et al. (2019). The feasibility of low-intensity psychological therapy for depression co-occurring with autism in adults: the Autism Depression Trial (ADEPT) â€“ a pilot randomised controlled trial. Autism. doi:10.1177/1362361319889272",False
"Ruwaard, 2009","Ruwaard, 2009","Ruwaard J, Schrieken B, Schrijver M, Broeksteeg J, Dekker J, Vermeulen H, et al. Standardized web-based cognitive behavioural therapy of mild to moderate depression: A randomized controlled trial with a long-term follow-up. Cognitive Behaviour Therapy. 2009;38(4):206-21.",False
"Safren, 2009","Safren, 2009","Safren SA, O'Cleirigh C, Tan JY, Raminani SR, Reilly LC, Otto MW, et al. A randomized controlled trial of cognitive behavioral therapy for adherence and depression (CBT-AD) in HIV-infected individuals. Health Psychology. 2009;28(1):1-10.",False
"Safren, 2014","Safren, 2014","Safren SA, Gonzalez JS, Wexler DJ, Psaros C, Delahanty LM, Blashill AJ, et al. A randomized controlled trial of cognitive behavioral therapy for adherence and depression (CBT-AD) in patients with uncontrolled type 2 diabetes. Diabetes care. 2014;37(3):625-33.",False
"Safren, 2016","Safren, 2016","Safren SA, Bedoya CA, O'Cleirigh C, Biello KB, Pinkston MM, Stein MD, et al. Cognitive behavioural therapy for adherence and depression in patients with HIV: A three-arm randomised controlled trial. The Lancet HIV. 2016;3(11):e529-e38.",False
"Savard, 2006","Savard, 2006","Savard J, Simard S, Giguere I, Ivers H, Morin CM, Maunsell E, et al. Randomized clinical trial on cognitive therapy for depression in women with metastatic breast cancer: Psychological and immunological effects. Palliative and Supportive Care. 2006;4(3):219-37.",False
"Schulberg, 1996","Schulberg, 1996","Schulberg HC, Block MR, Madonia MJ, Scott CP, Rodriguez E, Imber SD, et al. Treating major depression in primary care practice. Eight-month clinical outcomes. Archives of General Psychiatry. 1996;53(10):913-9.",False
"Scogin, 1987","Scogin, 1987","Scogin F, Hamblin D, Beutler L. Bibliotherapy for depressed older adults: A self-help alternative. The Gerontologist. 1987;27(3):383-7.",False
"Scogin, 1989","Scogin, 1989","Scogin F, Jamison C, Gochneaur K. Comparative efficacy of cognitive and behavioral bibliotherapy for mildly and moderately depressed older adults. Journal of Consulting and Clinical Psychology. 1989;57(3):403-7.",False
"Scogin, 2018","Scogin, 2018","Scogin F, Lichstein K, DiNapoli EA, et al. Effects of integrated telehealth-delivered cognitive-behavioral therapy for depression and insomnia in rural older adults. Journal of psychotherapy integration 2018; 28(3): 292‐309.",False
"Scott, 1990","Scott, 1990","Scott MJ, Stradling SG. Group cognitive therapy for depression produces clinically significant reliable change in community-based settings. Behavioural Psychotherapy. 1990;18(01):1-19.",False
"Selmi, 1990","Selmi, 1990","Selmi PM, Klein MH, Greist JH, Sorrell SP, Erdman HP. Computer-administered cognitive-behavioral therapy for depression. American Journal of Psychiatry. 1990;147(1):51-6.",False
"Serfaty, 2009","Serfaty, 2009","Serfaty MA, Haworth D, Blanchard M, Buszewicz M, Murad S, King M. Clinical effectiveness of individual cognitive behavioral therapy for depressed older people in primary care: A randomized controlled trial. Archives of General Psychiatry. 2009;66(12):1332-40.",False
"Serfaty, 2019","Serfaty, 2019","Serfaty, M., King, M., Nazareth, I., Moorey, S., Aspden, T., Tookman, A., . . . Jones, L. (2019). Manualised cognitive and behavioural therapy in treating depression in advanced cancer: the CanTalk RCT. Health Technology Assessment, 23(19), 1‐106. doi:10.3310/hta23190",False
"Serrano, 2004","Serrano, 2004","Serrano JP, Latorre JM, Gatz M, Montanes J. Life review therapy using autobiographical retrieval practice for older adults with depressive symptomatology. Psychology and Aging. 2004;19(2):270-7.",False
"Serrano, 2012","Serrano Selva, 2012","Serrano Selva JP, Latorre Postigo JM, Ros Segura L, Navarro Bravo B, Aguilar Corcoles MJ, Nieto Lopez M, et al. Life review therapy using autobiographical retrieval practice for older adults with clinical depression. Psicothema. 2012;24(2):224-9.",False
"Shapiro, 1990","Shapiro, 1990","Shapiro DA, Barkham M, Hardy GE, Morrison LA. The Second Sheffield Psychotherapy Project: rationale, design and preliminary outcome data. The British journal of medical psychology. 1990;63(2):97-108.",False
"Shaw, 1977","Shaw, 1977",Shaw BF. Comparison of cognitive therapy and behavior therapy in the treatment of depression. Journal of Consulting and Clinical Psychology. 1977;45(4):543.,False
"Sheeber, 2012","Sheeber, 2012","Sheeber LB, Seeley JR, Feil EG, Davis B, Sorensen E, Kosty DB, et al. Development and pilot evaluation of an Internet-facilitated cognitive-behavioral intervention for maternal depression. Journal of Consulting and Clinical Psychology. 2012;80(5):739-49.",False
"Sikander, 2019","Sikander, 2019","Sikander, S., Ahmad, I., Atif, N., Zaidi, A., Vanobberghen, F., Weiss, H. A., . . . Rahman, A. (2019). Delivering the Thinking Healthy Programme for perinatal depression through volunteer peers: a cluster randomised controlled trial in Pakistan. The Lancet Psychiatry, 6(2), 128-139. doi:10.1016/S2215-0366(18)30467-X",False
"Simoni, 2013","Simoni, 2013","Simoni JM, Wiebe JS, Sauceda JA, Huh D, Sanchez G, Longoria V, et al. A preliminary RCT of CBT-AD for adherence and depression among HIV-positive Latinos on the U.S.-Mexico border: The Nuevo Dia study. AIDS and behavior. 2013;17(8):2816-29.",False
"Simpson, 2003","Simpson, 2003","Simpson S, Corney R, Beecham J. A randomized controlled trial to evaluate the effectiveness and cost-effectiveness of psychodynamic counselling for general practice patients with chronic depression. Psychological Medicine. 2003;33(2):229-39.",False
"Simson, 2008","Simson, 2008","Simson U, Nawarotzky U, Friese G, Porck W, Schottenfeld-Naor Y, Hahn S, et al. Psychotherapy intervention to reduce depressive symptoms in patients with diabetic foot syndrome. Diabetic Medicine. 2008;25(2):206-12.",False
"Sinniah, 2017","Sinniah, 2017","Sinniah, A., Oei, T., Maniam, T., & Subramaniam, P. (2017). Positive effects of Individual Cognitive Behavior Therapy for patients with unipolar mood disorders with suicidal ideation in Malaysia: a randomised controlled trial. Psychiatry research, 254, 179-189.",False
"Sloane, 1985","Sloane, 1985","Sloane R, Staples F, Schneider L. Interpersonal therapy versus nortriptyline for depression in the elderly. Clinical and Pharmacological Studies in Psychiatric Disorders. 1985:344-6.",False
"Smit, 2006","Smit, 2006","Smit A, Kluiter H, Conradi HJ, Meer K, Tiemens BG, Jenner JA, et al. Short-term effects of enhanced treatment for depression in primary care: Results from a randomized controlled trial. Psychological Medicine. 2006;36(1):15-26.",False
"Smith, 2017","Smith, 2017","Smith, J., Newby, J. M., Burston, N., Murphy, M. J., Michael, S., Mackenzie, A., . . . Andrews, G. (2017). Help from home for depression: A randomised controlled trial comparing internet-delivered cognitive behaviour therapy with bibliotherapy for depression. Internet Interventions, 9, 25-37.",False
"Soares, 2018","Soares, 2018","Soares MC, Mondin TC, Silva G, et al. Comparison of Clinical Significance of Cognitive-Behavioral Therapy and Psychodynamic Therapy for Major Depressive Disorder: a Randomized Clinical Trial. Journal of nervous and mental disease 2018; 206(9): 686‐93.",False
"Songprakun, 2012","Songprakun, 2012","Songprakun W, McCann TV. Evaluation of a cognitive behavioural self-help manual for reducing depression: A randomized controlled trial. Journal of psychiatric and mental health nursing. 2012;19(7):647-53.",False
"Spek, 2007","Spek, 2007","Spek V, Nyklicek I, Smits N, Cuijpers P, Riper H, Keyzer J, et al. Internet-based cognitive behavioural therapy for subthreshold depression in people over 50 years old: A randomized controlled clinical trial. Psychological Medicine. 2007;37(12):1797-806.",False
"Stiles-Shields, 2018","Stiles-Shields, 2018","Stiles-Shields C, Montague E, Kwasny MJ, Mohr DC. Behavioral and cognitive intervention strategies delivered via coached apps for depression: Pilot trial. Psychological Services 2018.",False
"Strauss, 2012","Strauss, 2012","Strauss C, Hayward M, Chadwick P. Group person-based cognitive therapy for chronic depression: A pilot randomized controlled trial. British Journal of Clinical Psychology. 2012;51(3):345-50.",False
"Strong, 2008","Strong, 2008","Strong V, Waters R, Hibberd C, Murray G, Wall L, Walker J, et al. Management of depression for people with cancer (SMaRT oncology 1): A randomised trial. Lancet. 2008;372(9632):40-8.",False
"Swartz, 2008","Swartz, 2008","Swartz HA, Frank E, Zuckoff A, Cyranowski JM, Houck PR, Cheng Y, et al. Brief interpersonal psychotherapy for depressed mothers whose children are receiving psychiatric treatment. American Journal of Psychiatry. 2008;165(9):1155-62.",False
"Takagaki, 2016","Takagaki, 2016","Takagaki K, Okamoto Y, Jinnin R, Mori A, Nishiyama Y, Yamamura T, et al. Behavioral activation for late adolescents with subthreshold depression: A randomized controlled trial. European Child and Adolescent Psychiatry. 2016;25(11):1171-82.",False
"Talbot, 2011","Talbot, 2011","Talbot NL, Chaudron LH, Ward EA, Duberstein PR, Conwell Y, O'Hara MW, et al. A randomized effectiveness trial of interpersonal psychotherapy for depressed women with sexual abuse histories. Psychiatric Services. 2011;62(4):374-80.",False
"Taylor, 1977","Taylor, 1977","Taylor FG, Marshall WL. Experimental analysis of a cognitive-behavioral therapy for depression. Cognitive Therapy and Research. 1977;1(1):59-72.",False
"Taylor, 2009","Taylor, 2009","Taylor CB, Conrad A, Wilhelm FH, Strachowski D, Khaylis A, Neri E, et al. Does improving mood in depressed patients alter factors that may affect cardiovascular disease risk? Journal of Psychiatric Research. 2009;43(16):1246-52.",False
"Teasdale, 1984","Teasdale, 1984","Teasdale JD, Fennell MJ, Hibbert GA, Amies PL. Cognitive therapy for major depressive disorder in primary care. The British Journal of Psychiatry. 1984;144:400-6.",False
"Teichman, 1995","Teichman, 1995","Teichman Y, Bar-el Z, Shor H, Sirota P, Elizur A. A comparison of two modalities of cognitive therapy (individual and marital) in treating depression. Psychiatry. 1995;58(2):136-48.",False
"Teri, 1997","Teri, 1997","Teri L, Logsdon RG, Uomoto J, McCurry SM. Behavioral treatment of depression in dementia patients: A controlled clinical trial. The journals of gerontology Series B, Psychological sciences and social sciences. 1997;52(4):P159-66.",False
"Thomas, 2019","Thomas, 2019","Thomas, S. A., Drummond, A. E., Lincoln, N. B., Palmer, R. L., das Nair, R., Latimer, N. R., . . . Topcu, G. (2019). Behavioural activation therapy for post-stroke depression: the BEADS feasibility RCT. Health Technol Assess, 23(47), 1-176. doi:10.3310/hta23470",False
"Thompson, 1987","Thompson, 1987","Thompson LW, Gallagher D, Breckenridge JS. Comparative effectiveness of psychotherapies for depressed elders. Journal of Consulting and Clinical Psychology. 1987;55(3):385.",False
"Titov, 2010","Titov, 2010","Titov N, Andrews G, Davies M, McIntyre K, Robinson E, Solley K. Internet treatment for depression: A randomized controlled trial comparing clinician vs. technician assistance. PLoS One. 2010;5(6):e10939.",False
"Titov, 2015","Titov, 2015","Titov N, Dear BF, Ali S, Zou JB, Lorian CN, Johnston L, et al. Clinical and cost-effectiveness of therapist-guided internet-delivered cognitive behavior therapy for older adults with symptoms of depression: A randomized controlled trial. Behavior Therapy. 2015;46(2):193-205.",False
"Tomasino, 2017","Tomasino, 2017","Tomasino, K., Lattie, E., Ho, J., Palac, H., Kaiser, S., & Mohr, D. (2017). Harnessing Peer Support in an Online Intervention for Older Adults with Depression. American Journal of Geriatric Psychiatry, 25(10), 1109-1119.",False
"Tong, 2019","Tong, 2019","Tong, P., Bu, P., Yang, Y., Dong, L., Sun, T., & Shi, Y. (2019). Group cognitive behavioural therapy can reduce stigma and improve treatment compliance in major depressive disorder patients. Early intervention in psychiatry. doi:10.1111/eip.12841",False
"Tovote, 2014","Tovote, 2014","Tovote KA, Fleer J, Snippe E, Peeters A, Emmelkamp PMG, Sanderman R, et al. Individual mindfulness-based cognitive therapy and cognitive behavior therapy for treating depressive symptoms in patients with diabetes: Results of a randomized controlled trial. Diabetes care. 2014;37(9):2427-34.",False
"Town, 2017","Town, 2017","Town, J., Abbass, A., Stride, C., & Bernier, D. (2017). A randomised controlled trial of Intensive Short-Term Dynamic Psychotherapy for treatment resistant depression: the Halifax Depression Study. Journal of Affective Disorders, 214, 15-25.",False
"Tulbure, 2018","Tulbure, 2018","Tulbure BT, Andersson G, Salagean N, Pearce M, Koenig HG. Religious versus Conventional Internet-based Cognitive Behavioral Therapy for Depression. J Relig Health 2018; 57(5): 1634-48.",False
"Turner, 1979","Turner, 1979","Turner RW, Ward MF, Turner DJ. Behavioral treatment for depression: An evaluation of therapeutic components. Journal of clinical psychology. 1979;35(1):166-75.",False
"Unlu, 2013","Unlu, 2013","Unlu Ince B, Cuijpers P, t Hof E, Ballegooijen W, Christensen H, Riper H. Internet-based, culturally sensitive, problem-solving therapy for Turkish migrants with depression: Randomized controlled trial. Journal of Medical Internet Research. 2013;15(10):e227.",False
"V, 2013","Vazquez, 2013","Vázquez González FL, Otero Otero P, Torres Iglesias A, Hermida Garcìa E, Blanco Seoane V, Dìaz Fernández O. A brief problem-solving indicated-prevention intervention for prevention of depression in nonprofessional caregivers. Psicothema. 2013;25(1):87-92.",False
"V, 2017","Vázquez, 2017","Vázquez, F. L., Torres, Á., Otero, P., Blanco, V., Díaz, O., & Estévez, L. E. (2017). Analysis of the components of a cognitive-behavioral intervention administered via conference call for preventing depression among non-professional caregivers: A pilot study. Aging Ment Health, 21(9), 938-946.",False
"Verduyn, 2003","Verduyn, 2003","Verduyn C, Barrowclough C, Roberts J, Tarrier N, Harrington R. Maternal depression and child behaviour problems: Randomised placebo-controlled trial of a cognitive-behavioural group intervention. British Journal of Psychiatry. 2003;183(OCT.):342-8.",False
"Warmerdam, 2008","Warmerdam, 2008","Warmerdam L, Straten A, Twisk J, Riper H, Cuijpers P. Internet-based treatment for adults with depressive symptoms: Randomized controlled trial. Journal of Medical Internet Research. 2008;10(4):e44.",False
"Watson, 2003","Watson, 2003","Watson JC, Gordon LB, Stermac L, Kalogerakos F, Steckley P. Comparing the effectiveness of process-experiential with cognitive-behavioral psychotherapy in the treatment of depression. Journal of Consulting and Clinical Psychology. 2003;71(4):773-81.",False
"Westerhof, 2019","Westerhof, 2019","Westerhof, G. J., Lamers, S. M. A., Postel, M. G., & Bohlmeijer, E. T. (2019). Online Therapy for Depressive Symptoms: An Evaluation of Counselor-Led and Peer-Supported Life Review Therapy. The Gerontologist, 59(1), 135-146. doi:10.1093/geront/gnx140",False
"Wickberg, 1996","Wickberg, 1996","Wickberg B, Hwang CP. Counselling of postnatal depression: A controlled study on a population based Swedish sample. Journal of Affective Disorders. 1996;39(3):209-16.",False
"Wiklund, 2010","Wiklund, 2010","Wiklund I, Mohlkert P, Edman G. Evaluation of a brief cognitive intervention in patients with signs of postnatal depression: A randomized controlled trial. Acta obstetricia et gynecologica Scandinavica. 2010;89(8):1100-4.",False
"Williams, 2000","Williams, 2000","Williams JW, Barrett J, Oxman T, Frank E, Katon W, Sullivan M, et al. Treatment of dysthymia and minor depression in primary care: A randomized controlled trial in older adults. JAMA. 2000;284(12):1519-26.",False
"Williams, 2013 I","Williams, 2013 I","Williams AD, Blackwell SE, Mackenzie A, Holmes EA, Andrews G. Combining imagination and reason in the treatment of depression: A randomized controlled trial of internet-based cognitive-bias modification and internet-CBT for depression. Journal of Consulting and Clinical Psychology. 2013;81(5):793-9.",False
"Williams, 2013 II","Williams, 2013 II","Williams C, Wilson P, Morrison J, McMahon A, Andrew W, Allan L, et al. Guided self-help cognitive behavioural therapy for depression in primary care: A randomised controlled trial. PLoS One. 2013;8(1):e52735.",False
"Williams, 2018","Williams, 2018","Williams C, McClay CA, Matthews L, et al. Community-based group guided self-help intervention for low mood and stress: Randomised controlled trial. British Journal of Psychiatry 2018; 212(2): 88-95.",False
"Wilson, 1983","Wilson, 1983","Wilson PH, Goldin JC, Charbonneau-Powis M. Comparative efficacy of behavioral and cognitive treatments of depression. Cognitive Therapy and Research. 1983;7(2):111-24.",False
"Wollersheim, 1991","Wollersheim, 1991","Wollersheim JP, Wilson GL. Group treatment of unipolar depression: A comparison of coping, supportive, bibliotherapy, and delayed treatment groups. Professional Psychology: Research and Practice. 1991;22(6):496.",False
"Wong, 2008","Wong I, 2008",Wong DF. Cognitive and health-related outcomes of group cognitive behavioural treatment for people with depressive symptoms in Hong Kong: Randomized wait-list control study. Australian and New Zealand Journal of Psychiatry. 2008;42(8):702-11.,False
"Wong, 2008","Wong II, 2008",Wong DF. Cognitive behavioral treatment groups for people with chronic depression in Hong Kong: A randomized wait-list control design. Depression and anxiety. 2008;25(2):142-8.,False
"Wong, 2018","Wong, 2018","Wong SYS, Sun YY, Chan ATY, et al. Treating Subthreshold Depression in Primary Care: a Randomized Controlled Trial of Behavioral Activation With Mindfulness. Annals of family medicine 2018; 16(2): 111‐9.",False
"Wuthrich, 2013","Wuthrich, 2013","Wuthrich VM, Rapee RM. Randomised controlled trial of group cognitive behavioural therapy for comorbid anxiety and depression in older adults. Behaviour Research and Therapy. 2013;51(12):779-86.",False
"Xie, 2019","Xie, 2019","Xie, J., He, G., Ding, S., Pan, C., Zhang, X., Zhou, J., & Iennaco, J. D. (2019). A randomized study on the effect of modified behavioral activation treatment for depressive symptoms in rural left-behind elderly. Psychotherapy research : journal of the Society for Psychotherapy Research, 29(3), 372-382. doi:10.1080/10503307.2017.1364444",False
"Yeung, 2017","Yeung, 2017","Yeung, A., Wang, F., Feng, F., Zhang, J., Cooper, A., Hong, L., . . . Fava, M. (2017). Outcomes of an online computerized cognitive behavioral treatment program for treating chinese patients with depression: A pilot study. Asian journal of psychiatry. doi:10.1016/j.ajp.2017",False
"Zemestani, 2016","Zemestani, 2016","Zemestani M, Davoodi I, Honarmand MM, Zargar Y, Ottaviani C. Comparative effects of group metacognitive therapy versus behavioural activation in moderately depressed students. Journal of Mental Health. 2016;25(6):479-85.",False
"Zemestani, 2019","Zemestani, 2019","Zemestani, M., & Fazeli Nikoo, Z. (2019). Effectiveness of mindfulness-based cognitive therapy for comorbid depression and anxiety in pregnancy: a randomized controlled trial. Archives of Women's Mental Health. doi:10.1007/s00737-019-00962-8",False
"Zettle, 1989","Zettle, 1989","Zettle RD, Rains JC. Group cognitive and contextual therapies in treatment of depression. Journal of clinical psychology. 1989;45(3):436-45.",False
"van, 2006","Van Schaik, 2006","van Schaik A, van Marwijk H, Adèr H, van Dyck R, de Haan M, Penninx B, et al. Interpersonal psychotherapy for elderly patients in primary care. The American Journal of Geriatric Psychiatry. 2006;14(9):777-86.",False
"van, 2011","Van Bastelaar, 2011","van Bastelaar KM, Pouwer F, Cuijpers P, Riper H, Snoek FJ. Web-based depression treatment for type 1 and type 2 diabetic patients: A randomized, controlled trial. Diabetes care. 2011;34(2):320-5.",False
